date,RSI_14D,PE_RATIO,PX_TO_BOOK_RATIO,BEST_EPS,WACC_COST_EQUITY,MOV_AVG_30D,EBITDA_MARGIN,NET_DEBT_PER_SHARE,NORMALIZED_ACCRUALS_CF_METHOD,VOLATILITY_90D,RSI_14D_no-fees,PE_RATIO_no-fees,PX_TO_BOOK_RATIO_no-fees,BEST_EPS_no-fees,WACC_COST_EQUITY_no-fees,MOV_AVG_30D_no-fees,EBITDA_MARGIN_no-fees,NET_DEBT_PER_SHARE_no-fees,NORMALIZED_ACCRUALS_CF_METHOD_no-fees,VOLATILITY_90D_no-fees,sequential,zscore_simple,zscore_weighted
2003-02-28,0.022249928895388765,-0.028989122721355412,-0.04574364961150452,-0.040324978720433745,-0.05465387275274324,-0.013451671843446741,-0.05120465283070909,-0.04160593434308016,-0.026627845184334045,0.02131224731164539,0.026093950122441777,-0.02508331958845561,-0.04192104287270366,-0.036719012221730365,-0.050821608018052467,-0.009663147945755263,-0.04749403478106859,-0.03789851349872285,-0.02291181614627863,0.025311304332407008,,0.03939708043280396,-0.034316271299524685
2003-03-31,0.07336673798317299,-0.03602601126463883,-0.0614058461882527,-0.05319761842852847,-0.07490309346595189,-0.0511084843504323,-0.06967819915467552,-0.05513801593783419,-0.032449137116454134,0.02404649822851511,0.07746320702587572,-0.031990052036146195,-0.057495913242824645,-0.049615853122063645,-0.07097853054362349,-0.04682243537159242,-0.06593790719420854,-0.05140256711873649,-0.028700648565677882,0.02933364942254788,,0.08782588436483818,-0.044095600600938936
2003-04-30,0.1442525479228517,-0.05883277104508492,-0.049578704131815886,-0.06944706488575705,-0.04035563029547956,-0.058100313448546444,-0.04181378058595479,-0.04535781658799772,0.03325681827862751,-0.0026221178085930573,0.14893192976754105,-0.05098925814970499,-0.04154818382073458,-0.061693708450879424,-0.032304125558941604,-0.05307214131874116,-0.03386892155393678,-0.037420580841154794,0.04120610598357758,0.0038311024029344005,,0.10933793385472002,-0.043621189379526054
2003-05-30,0.17182280479710613,-0.07235397128465783,-0.008849018503258081,-0.08921300901124024,-0.0030527952427272936,-0.07606855130027933,-0.03392397201873179,-0.04440720407271433,0.07016996290007843,-0.017521082391930114,0.17743505341856297,-0.06383986581569785,0.002538271567925715,-0.08103191093443504,0.0054355201206222475,-0.07033897387304566,-0.026014311647001756,-0.03633975374063137,0.07808074771378323,-0.009955490020160607,0.065094781878726,0.13464677537205572,-0.016825360130684558
2003-06-30,0.2246346229762813,-0.08853058076033488,-0.0012973008942915379,-0.11559697654254719,-0.01148733784123223,-0.07643802193224206,-0.03986859481511331,-0.06771501066932219,0.09011603537100149,-0.020016881711064128,0.23100580725537692,-0.07791866010761528,0.0139069762363438,-0.10737796586934722,-0.0009524755711988499,-0.06993539799035758,-0.03183726024016674,-0.05928963585064606,0.09856633575227493,-0.01135290518797831,0.09840718720398434,0.1983407150597633,0.04239037530404048
2003-07-31,0.12788845814488672,-0.10603991453300796,0.0020534235841685733,-0.12597010671372444,-0.015206639811204865,-0.06695415947030278,-0.035100897617947144,-0.06855389307230304,0.07702078840637869,-0.03381681155802458,0.13513347762937036,-0.09500456951717978,0.02103618308054974,-0.1177140176625859,-0.003981460493151241,-0.06002939196426464,-0.027115026112327648,-0.06017145960255026,0.08542135792858944,-0.023636885894853694,0.10256775352344702,0.172848064958163,0.0047107187266781855
2003-08-29,0.15278002547114458,-0.12988985893305482,0.009813347031375728,-0.10937520853887542,-0.01822545696078418,-0.08944641303208017,-0.040963639051834866,-0.0867776885968445,0.11047264176173063,-0.022995286137048238,0.16051424035498146,-0.11850668266476758,0.03115906715410134,-0.10034197197381163,-0.0057856380471851265,-0.08208722556719907,-0.03302784526165692,-0.0784425551594892,0.11895824030924765,-0.011821122222473814,0.09644722842257432,0.1810498301110548,0.01096568815144517
2003-09-30,0.16710506588035925,-0.13147794843950367,0.031110882592606724,-0.09467119305559946,0.024531761710783844,-0.06625622766860778,-0.06186930775594496,-0.05024685841675228,0.1195214891662395,-0.0050708352720747855,0.175418725737824,-0.1162099589234238,0.055879980629342164,-0.08498821739725664,0.03768911077522538,-0.05849483519377248,-0.053666498191849286,-0.04138747626115324,0.12865495888488432,0.006896155489812601,0.13300459188683064,0.1817185786443638,0.014265241814559642
2003-10-31,0.15809859570071816,-0.15887873904888314,0.03623497893753966,-0.0723955635923341,0.03552522530096333,-0.07536152219454542,-0.06062620707455567,-0.05176429577851882,0.12556085742354567,-0.016569419103967004,0.1673431628281548,-0.13968182447119026,0.06309843986937236,-0.06219629727501946,0.04859033026099484,-0.06716734094228403,-0.05249372198723512,-0.04282346501964134,0.134617401041623,-0.003393768779284708,0.15622475636879285,0.21064697738731888,0.0364189594954364
2003-11-28,0.14060559937549977,-0.18469071526366157,0.024169397422125587,-0.08452759623896688,0.04910122106154591,-0.06498183938513309,-0.03962686955393789,-0.06051284010842546,0.13113298997044712,-0.0012202815194214504,0.1508280649952171,-0.16550318181589613,0.051764819233279816,-0.07392452271609956,0.06263764671463427,-0.05611549419911513,-0.031518097341448344,-0.05159440693174307,0.140163594696724,0.013474036327690144,0.14921160653247098,0.21236161261291295,0.026849990232949802
2003-12-31,0.14735043164634923,-0.19842678024037835,0.05034243655869815,-0.10638300248695769,0.06552971229194374,-0.062402778952691966,-0.033826059435792616,-0.052916387640282656,0.13148363828829057,0.03228455099154015,0.15812350841677433,-0.1752647371103775,0.08180147629272574,-0.09549841525243309,0.08123838073842758,-0.052740560906454556,-0.025579009821831013,-0.04344397217532914,0.14128019897517893,0.04793709495378462,0.13678872849258603,0.25562881018791794,0.01372023603538921
2004-01-30,0.1841070057250333,-0.17643138727616944,0.04144444218168311,-0.08998643836476264,0.10528287829099015,-0.0636055266664474,-0.05375388289109306,-0.0619672207463265,0.21472632076165227,0.07987684523461383,0.19519311600425615,-0.14944324187388117,0.07664617793541803,-0.07859942269822748,0.12331948433375393,-0.053254420846522876,-0.045561667119383475,-0.052546597630367536,0.22446290014676618,0.09620009428119689,0.18987879399948876,0.262474216481957,0.031412535367272294
2004-02-27,0.15870220318591888,-0.21793477193220737,0.06895599739671773,-0.07534016612799635,0.09021036671014057,-0.05487291715875228,-0.06595528012366006,-0.049206104053285404,0.21126799164146357,0.05456151547022469,0.17044185070908344,-0.18707972763914266,0.10502295544232594,-0.06392843663661937,0.10815271949380834,-0.0441088660170773,-0.05779336681917227,-0.039814102604043396,0.22097142395250252,0.07128852113587,0.18295676027837207,0.2673903264285995,0.026881699463837574
2004-03-31,0.14608283206242015,-0.2070992397712605,0.060122789147765934,-0.08938056709890548,0.07895528983576766,-0.058449524096523806,-0.06649425631003134,-0.043042185652584816,0.18995457486243894,0.07410471196098276,0.15893776075567131,-0.17440566106376051,0.09936672153005377,-0.07798038218263544,0.09953447516099093,-0.047304352762608366,-0.05708969513101332,-0.03271626777036109,0.20109114975826556,0.09135313364085354,0.16028095024074226,0.27576681447652013,0.010445696533167709
2004-04-30,0.12710230130542244,-0.24641187268327758,0.051875673151943934,-0.09173805908704884,0.05601327803167305,-0.0760238185561308,-0.05027221876244027,-0.04181696520484113,0.13785888095915766,0.06682387786023444,0.14049772572673613,-0.20984381140337077,0.09402220654746946,-0.08032235574576661,0.07733035413460826,-0.06409221401218905,-0.04088668525592038,-0.031509019578693266,0.14897464198312516,0.08433924675455921,0.1805136612459643,0.29634940749567434,0.012988198908581487
2004-05-31,0.07858525127174362,-0.23914098197072384,0.040076359257003084,-0.08567612486051689,0.06247355818686378,-0.06104500935460678,-0.039742716534620776,-0.05267061028835729,0.11916077976440706,0.055595584897259756,0.0923858339673521,-0.2005426991675444,0.08518506353129511,-0.07428259860543779,0.08480935867211661,-0.04856773472462215,-0.0303299909430211,-0.04233698085267682,0.13041708328486107,0.07349671048176626,0.17767038175084565,0.28625578507657046,0.023996703707472335
2004-06-30,0.05509262961238258,-0.24658386239442848,0.04524822660267383,-0.11076716112565324,0.050972879250365,-0.06858587007705438,-0.02380792748960031,-0.05209667338839923,0.08841417943981197,0.04012063111498933,0.06958137021998662,-0.20493680340843717,0.09294245458456413,-0.09893962948461231,0.07413036404528511,-0.05557383372488676,-0.0141442420802506,-0.04151289371056584,0.1002761669430926,0.05857626850888886,0.14391065365091874,0.3041790192513781,0.045306858186625124
2004-07-30,0.03564714113635633,-0.25498305362440776,0.041999945543589184,-0.1289526497984196,0.0668575912810045,-0.028157231412072756,-0.015132480686569595,-0.04011791426534522,0.06862679981130529,0.0463834292711972,0.05064813635316583,-0.2093430089341996,0.09317353719298148,-0.11687978672768776,0.09066044452934177,-0.014518918134570617,-0.005439992253428687,-0.029506929193925946,0.0805202941868218,0.06564671822419199,0.12462179319680926,0.32517750540855644,0.052015448508546794
2004-08-31,-0.0028089946148333114,-0.2685046705971657,0.019924169862312616,-0.1242989055608273,0.0838748236926962,-0.018615763855476225,-0.001350194356885574,-0.028804139013719688,0.05597066647158366,0.05197293383659501,0.012697758340449374,-0.21916420307279671,0.07437025232783825,-0.11196538996677152,0.1100492324347413,-0.004355460392682281,0.008496661444550807,-0.018039856800699083,0.06788526679239568,0.07204201476328649,0.1262698735916718,0.3250625108197699,0.04487785882938708
2004-09-30,0.03203761803983327,-0.2962238679839225,0.03545691614534413,-0.11795116704143718,0.12199838527830448,-0.016411723699493046,0.018526022135884467,-0.041758107941517644,0.07060058706271949,0.07177206746562184,0.047853955406048865,-0.24347220359494828,0.09329623800192163,-0.10519493288594561,0.15095045279431307,-0.0017522932561274667,0.02893976702315631,-0.03011214008982139,0.08379490369147224,0.09266123160940071,0.14966481852796,0.3296354255855087,0.0704049342779067
