date,RSI_14D,PE_RATIO,PX_TO_BOOK_RATIO,BEST_EPS,WACC_COST_EQUITY,MOV_AVG_30D,EBITDA_MARGIN,NET_DEBT_PER_SHARE,NORMALIZED_ACCRUALS_CF_METHOD,VOLATILITY_90D,RSI_14D_no-fees,PE_RATIO_no-fees,PX_TO_BOOK_RATIO_no-fees,BEST_EPS_no-fees,WACC_COST_EQUITY_no-fees,MOV_AVG_30D_no-fees,EBITDA_MARGIN_no-fees,NET_DEBT_PER_SHARE_no-fees,NORMALIZED_ACCRUALS_CF_METHOD_no-fees,VOLATILITY_90D_no-fees,benchmark,sequential,zscore_simple,zscore_weighted
2003-02-28,-0.039902397171835365,-0.08858225378350744,-0.08858225378350744,-0.08858225378350744,-0.08858225378350744,-0.0503886750444578,-0.08858225378350744,-0.08858225378350744,-0.08858225378350744,-0.0014733648161022836,-0.03797835387959456,-0.0867557653141357,-0.0867557653141357,-0.0867557653141357,-0.0867557653141357,-0.04848564633713206,-0.0867557653141357,-0.0867557653141357,-0.0867557653141357,0.0005276905650277691,-0.053198053925489694,,-0.009156899050226314,-0.08858225378350744
2003-03-31,-0.019979682170421034,-0.1255727996385365,-0.1255727996385365,-0.1255727996385365,-0.1255727996385365,-0.10612179287999121,-0.1255727996385365,-0.1255727996385365,-0.1255727996385365,-0.009189124735309364,-0.017928368537939887,-0.12374631116916476,-0.12374631116916476,-0.12374631116916476,-0.12374631116916476,-0.10396548846422679,-0.12374631116916476,-0.12374631116916476,-0.12374631116916476,-0.006543236227411069,-0.07891921118907956,,0.0151829709465952,-0.1255727996385365
2003-04-30,0.18056171338959695,-0.021834865789181104,-0.01842187047986149,-0.03655250679652948,-0.012334847573948343,-0.030535887956629565,-0.012649098465542546,-0.012805995492804687,0.07110839474966829,0.020691914186895012,0.18290068610551888,-0.01786844379862851,-0.014376642673498377,-0.03268413367908879,-0.008277421324888082,-0.02802489945072756,-0.008666485781930952,-0.008827759286093376,0.07509417770208426,0.023917984803377382,0.030126557276969446,,0.1423671106827635,-0.008546946629627072
2003-05-30,0.2529628399531335,0.007799752604964124,0.056550134813464784,-0.020297868938668615,0.05231223073420288,-0.01920371925396743,0.024418079899014657,0.023265194000555656,0.15220678618270492,0.026721545408926486,0.2557670047980945,0.01217866529425958,0.06232553988914798,-0.01622997851013936,0.056642803523244176,-0.016347381538047368,0.02840069258262625,0.027325160640113026,0.1561925691351209,0.030502869718836253,0.06784936964070623,0.06993639080543611,0.20422188447139744,0.05810215310590569
2003-06-30,0.363558888769337,0.048037807491341566,0.10783050070533123,-0.0005600770255076958,0.07953916668160305,0.017860269664917522,0.05590514574373875,0.04524700818368777,0.22961615333114793,0.05049407048458361,0.3667408821449608,0.053567576376368456,0.11558280013979666,0.003507813403021559,0.08496530820393325,0.021096060494261774,0.059971838495535,0.049507890805093546,0.23389711893883441,0.05482335549187867,0.11648271660970962,0.1890510275416617,0.3152947486300103,0.16917501726451856
2003-07-31,0.3237314424275579,0.0852278464832199,0.1543105786741002,0.03451385846275218,0.11038121554880943,0.06412712635705757,0.09753882175739537,0.0888448678469485,0.27277126366699594,0.06294548759810488,0.3273487501783898,0.09106903290431065,0.16401901504726218,0.03858174889128143,0.11622322010942612,0.06756707439410028,0.10160551450919161,0.09310575046835427,0.2770522292746824,0.0680315428920821,0.16438610550511829,0.22711402691808183,0.3361021788407411,0.18210086120750182
2003-08-29,0.41085918961183143,0.12134684798137405,0.2084547961521973,0.10131369563249866,0.14543566170416414,0.08191287051700802,0.1320607720907027,0.11934498388509852,0.3680296671965512,0.10212186176748961,0.4147193291021658,0.1274717757937611,0.21941839872630747,0.10574973884238414,0.15196286730987743,0.08556241210780528,0.13612746484249894,0.12360586650650429,0.37238053666659454,0.10770370966521739,0.21692853957447183,0.3361056210666533,0.39474534032978575,0.24363088194198768
2003-09-30,0.42564956217441047,0.1219999832443707,0.23258134204280248,0.11720111977285914,0.19010294155308372,0.10670990508633109,0.1126747851511785,0.15705642862173008,0.3775908233385011,0.12253296386297619,0.42979952320738735,0.13006115735931006,0.24525250040218924,0.12196317797801196,0.19698454373735513,0.1105609764008876,0.11687358131613321,0.16157810903103387,0.3822640920770567,0.1285112995913221,0.21763416866423876,0.37921780798931004,0.39746972584032497,0.2487911945352725
2003-10-31,0.5028566151264654,0.17922709189209898,0.3009241074956387,0.2083852240396065,0.2523568312341642,0.15277151051999321,0.1693232520310772,0.22272911677968865,0.46902025294742256,0.14945237777505238,0.5074695498445312,0.1894069576075348,0.3147459248965071,0.21337675025915415,0.25930168053214314,0.15682828042483826,0.1735220481960319,0.22732473336941317,0.47369352168597817,0.15603318044098735,0.2901127351600746,0.4826831709477261,0.4961324737382142,0.3474539424331617
2003-11-28,0.5172038887824684,0.18372163130782715,0.31262598437382205,0.22204118877652093,0.2859063909234775,0.18445389340772167,0.21144258318219797,0.23904936592978426,0.5058229886254866,0.18074905687159176,0.5223049365265675,0.1939488113190898,0.32684867406631046,0.2272249488278857,0.29312377901288184,0.188843138738154,0.21564137934715266,0.24364498251950878,0.5104962573640422,0.18808856516207995,0.31698968113747955,0.5049154664955814,0.5242068954039791,0.36646355510195666
2003-12-31,0.5213582441281794,0.16934807368206534,0.33970733787704294,0.19879678429773628,0.3032465016896664,0.1869716474428976,0.2168149985001099,0.24551033786795454,0.503715801863904,0.21561284213484017,0.5267347912323691,0.18155045698465913,0.35585375073120545,0.2041235420671177,0.31154146500512264,0.19175966497938957,0.2210801857679101,0.2503803504061654,0.508769043057501,0.22343160904660045,0.3151607853690374,0.4890195180724112,0.5665331487179324,0.3531365411077242
2004-01-30,0.6258657425755112,0.25844575617971133,0.3818918188134832,0.2697074131271996,0.38490308498263764,0.229694081459816,0.24082257967103865,0.2895261458820441,0.6542737435944519,0.293759184226181,0.6313968727520066,0.2726814470763119,0.39999026387626685,0.2752630246565399,0.3944472951084693,0.23481820308809775,0.24508776693883885,0.29439615842025496,0.659326984788049,0.3019118511718487,0.3724086128496092,0.5827267921836332,0.6285115834858043,0.43083011948014305
2004-02-27,0.639639882963214,0.2563988423572714,0.43852912764486957,0.3158508854560851,0.393794940851,0.26421482083635156,0.25439883682823033,0.3331110524021394,0.6895133248502564,0.28684321189899065,0.6454967131636058,0.27263443923819575,0.4571047718340788,0.3214064969854254,0.4033391509768317,0.2695408063591724,0.2586640240960305,0.33798106494035024,0.6945665660438535,0.2951969544640589,0.40554302431891626,0.6287983170138883,0.6654939984314334,0.46095531695350694
2004-03-31,0.6143165025456195,0.2555128793767756,0.42276834773697114,0.2919845655279765,0.3775291609904876,0.253766184047136,0.247319960820082,0.33022389534257585,0.6557191488312487,0.3030338993811134,0.6207314725055373,0.2726366996054584,0.44291165070017346,0.29754017705731683,0.3883697731129879,0.25928488256023485,0.25219939442564565,0.3355541810741536,0.6614812193167868,0.31164872491413353,0.3949523144064172,0.5912357651563757,0.6652645073191332,0.44904309490894784
2004-04-30,0.6213227480053898,0.24301940794415278,0.43530995195470806,0.31072523073725933,0.37135379086971104,0.25396874695061716,0.28104871062875214,0.3521244219411051,0.629243117124724,0.308633470655891,0.6280072948300421,0.2621221991719686,0.4569325533259505,0.31628084226659964,0.3825929403633444,0.25987776810977115,0.2859281442343158,0.35745470767268284,0.6350051876102621,0.31738126576705,0.4170785173292066,0.617209664398295,0.7077145082086136,0.4716887998042118
2004-05-31,0.5447975785321039,0.2242874334977562,0.4058972878308946,0.295176492816839,0.3634301003968803,0.2529180638843465,0.2751000064002155,0.32026439310363175,0.5825281458293775,0.2879219614076534,0.5516856634062438,0.2443457003476794,0.428960963372797,0.3007321043461793,0.3751363227422991,0.25910405578825896,0.2799794400057791,0.32559467883520954,0.5883456152088421,0.2968633551622923,0.39399868457773246,0.5590188897440701,0.6761913754234812,0.4489727392263726
2004-06-30,0.5608238324854276,0.2562102804800817,0.4413447821054305,0.30208606587554865,0.3766263189081483,0.2715058873755474,0.3172334109204499,0.3520981747782571,0.591121047854493,0.2911774753432607,0.5680549242568652,0.27785960717803304,0.4657459518785782,0.3078462831679255,0.3887906626562517,0.2779546364488512,0.32225352473535573,0.35756789280951295,0.5972579864353555,0.3003953197129755,0.42743720158006854,0.5568636298819498,0.7269893709109172,0.49924648628478235
2004-07-30,0.5115028380829,0.22093933190852766,0.4193608866555105,0.2608943864611689,0.3768084074194012,0.2947298893076511,0.308204783787015,0.3415764201901507,0.5413486655507496,0.2873451141829202,0.5189910728800543,0.24452198335884062,0.44545935660901365,0.26678901492924234,0.3892506407105943,0.30149615755643533,0.31322489760192085,0.34704613822140656,0.5474856041316121,0.2969675473031565,0.40274040168378894,0.5127410761528185,0.7253090988791157,0.49355062204914957
2004-08-31,0.45414786724804945,0.19096253230995314,0.3862382667691552,0.25121779016751455,0.3853093034386435,0.29388045795662604,0.31122791393984717,0.33891798165831816,0.5096390437013801,0.2873373949627725,0.4618896613296243,0.21635307988664754,0.4139445913450131,0.25725061299194174,0.39890730724097034,0.3009606558668797,0.31631556409847406,0.344455236033295,0.5157759822822426,0.29736323517180074,0.3872293948818962,0.49622828380811174,0.7108922873951552,0.4764053430328291
2004-09-30,0.51604700354949,0.19096387927969155,0.4236180245420223,0.2797814478741393,0.4418626686624997,0.3143678934912476,0.34961164562855307,0.347979867492268,0.5517151038505412,0.320726041286043,0.5239428801041205,0.2181041638293753,0.4530505828803208,0.2860174228699406,0.4568808020171351,0.3216445938804298,0.3549928033480023,0.3539674695345716,0.558502908256712,0.33116138997968836,0.4103295510718289,0.5360753350351548,0.7387076688799624,0.48045456681795135
2004-10-29,0.5340775060520478,0.18760975291123927,0.4540849101473007,0.2925673166294292,0.46236033092772255,0.31858584542556134,0.37234858864685605,0.35457683625163,0.6066482369192667,0.3343347372619573,0.5421932291159193,0.2156819223895168,0.4854395282059918,0.2989406608525543,0.4787620755437817,0.32619230653239517,0.3777297463663053,0.3605644382939336,0.6134360413254375,0.34506174817444674,0.426319165323573,0.560787125807313,0.7607623888929061,0.4795961825664309
2004-11-30,0.5794788526342352,0.20967649852602788,0.5194687338786127,0.32656134888470323,0.5132903438102487,0.32471778622632386,0.3984350249736724,0.37681342240681764,0.6542090684430252,0.33598707229109925,0.5878738949601369,0.23930818613366175,0.5525213919290193,0.3331405612723835,0.5307224601759966,0.33252983836670846,0.40388530542961143,0.38280102444912123,0.660996872849196,0.3470936088267991,0.46210155668653285,0.6120895887384226,0.8072477049317813,0.5260610221866286
2004-12-31,0.6212533293436846,0.24162613103288433,0.5510913701011709,0.3331932536628948,0.5497870983483819,0.34324665479279587,0.42945014630950873,0.3868232519528802,0.7063639947040286,0.3439664022702151,0.6298688976121436,0.2728638536501137,0.5855110157209908,0.3397724660505751,0.568168060124448,0.35133457499193577,0.43496143596584047,0.39294258975432694,0.7138737717796801,0.3552231154417948,0.48813105762125575,0.6339292847538697,0.8440871286313949,0.5522377821016133
2005-01-31,0.7197512517249709,0.3098710332480955,0.6432272863904573,0.4071760994063724,0.6066610335901348,0.3717460374468997,0.4895462934680236,0.45645811032303635,0.7961723971141552,0.4096556314851358,0.7285187327627061,0.3423641450730108,0.679478526925525,0.4139757466486244,0.6261249218334368,0.38003543824401137,0.4951455782474903,0.4625774481244831,0.8036821741898068,0.4212125194284237,0.5525927708962597,0.744632982745476,0.8899121986332323,0.6280080784103088
2005-02-28,0.7923497705191584,0.3470635974237164,0.6969807525493128,0.4443894593449412,0.6618790109983843,0.39591156610977696,0.5082765766299031,0.49692497339121877,0.8749625782231446,0.4604823159410103,0.8014049985297785,0.3815670210480857,0.7347654827417198,0.4513987306530593,0.6822648335102731,0.4044049469091673,0.5138758614093698,0.5030443111926656,0.8825378302202934,0.4723390891284073,0.5968550893182554,0.7890838534195721,0.9508581026929903,0.6856187325698687
2005-03-31,0.7980746021331145,0.33420973752624056,0.6831946818927052,0.4414460360537846,0.6878306941332782,0.390218919896401,0.5035186905137422,0.5073914580923536,0.882462793547819,0.4706289168327676,0.8074000852784298,0.37014188758683325,0.7225665736870696,0.4484553073619027,0.7094810406324474,0.3990363433916815,0.5097079151420627,0.5142598986095094,0.8911151183642416,0.4826969442470634,0.5981726159676901,0.7814796564110773,0.9646158209161384,0.6897442607619662
2005-04-29,0.7258443012288603,0.35055030602111603,0.6632960058571742,0.4154787550653526,0.670272405636037,0.3624151741338334,0.46469382357574873,0.49996975644473546,0.8515136887638028,0.45336593975930756,0.7352952422570925,0.3883963559122567,0.7039034879542175,0.4224880263734707,0.693234525443787,0.37148544462044614,0.4709478425149075,0.5068381969618911,0.8601660135802255,0.4656303641016421,0.5646642203645158,0.7361347840751874,0.9318164598074531,0.6688214901534498
2005-05-31,0.776490087433317,0.40398952737583177,0.6662651520723128,0.4544388439068459,0.6831368619942225,0.3853358121989285,0.5117222215009627,0.5243603157825671,0.8946264912351032,0.45337014346228716,0.7861498137027041,0.4419664372553508,0.7081687606530033,0.4615211488246714,0.7069786707231207,0.3948118075858082,0.5179762404401215,0.5312287562997229,0.9033454827181925,0.4659105117195964,0.5995394545448008,0.7891280604213506,0.9598434455641894,0.7152519188749196
2005-06-30,0.8452019371547826,0.4688023780254541,0.6951953925066127,0.48470660268984117,0.698661036884336,0.41971400581864543,0.5659998025608143,0.5485588393619806,0.9449125863930585,0.5010974165442176,0.8552222200639051,0.5087388539539964,0.7383499283762772,0.4920033920701543,0.7234550747411117,0.4293882024411003,0.5724859163184552,0.5555675555580301,0.9540482359712192,0.5139859620420522,0.6411433684900134,0.8157627617071481,1.0182877099850312,0.786406871141383
2005-07-29,0.9242645286535398,0.5002238036694963,0.7310664600768423,0.526126495128,0.7087905895638574,0.4492372610704561,0.5948948714367704,0.5798602516792178,1.0072498193886945,0.5529136864402266,0.9348041523051231,0.5405891773348419,0.7753792532058321,0.5336251930660915,0.7342614190168414,0.4591894056029627,0.6013809851944114,0.5868689678752673,1.0163854689668552,0.5664597887004742,0.6859198048315744,0.8678793948379729,1.1076500502031448,0.8302126134530738
2005-08-31,0.9484970601809064,0.5011469918463352,0.7664101728107359,0.5441502380897822,0.7422476298953106,0.4759448048062787,0.6111584368752181,0.5959785052188062,1.0023492049271485,0.5712238443555852,0.9592491737805605,0.5422715027988512,0.8120247860113418,0.5518539444566535,0.7688733139902194,0.4860402997121785,0.6176445506328591,0.6029872214148557,1.011549231681016,0.5855190004790543,0.6985624348033534,0.8670905769687676,1.1269302312442837,0.8383784053333061
2005-09-30,1.003522117996432,0.562122549670441,0.803726498518415,0.5758426025111232,0.7898852242584113,0.5013653379666277,0.6273007929659505,0.6483147100218973,1.0670959309387806,0.5901216282065342,1.0144122652733492,0.6053097299378465,0.8506079759609197,0.5837517469774012,0.8175537759614846,0.5116149515141296,0.6338519249546269,0.6558334945817155,1.0771147953434839,0.6050974192905323,0.7498110010794058,0.9133746328726462,1.159803278081551,0.9130662920030126
2005-10-31,0.9416643851884835,0.5372167640434419,0.7843748891332833,0.5422132912899508,0.7998213215028266,0.4797226510959919,0.611349353350451,0.6090107387338684,1.0188368139376527,0.5685868034895101,0.9528122076332041,0.5821625483529441,0.8323026599076345,0.5501224357562288,0.8285567453278248,0.4903629863191161,0.6179004853391274,0.6165295232936865,1.028855678342356,0.5841329037650406,0.7071158460126679,0.8661513707800484,1.106857604314522,0.8676096895611092
2005-11-30,0.9549628111622419,0.5674062096842484,0.8012281443249739,0.5451980975067062,0.8171281702444682,0.4861770008040441,0.6309261495699412,0.6308656576903741,1.052351507475819,0.5762385306519128,0.9665148559599528,0.6142968518003978,0.8507920143693016,0.5532314734716518,0.8466074118184103,0.4970103068687942,0.6374772815586176,0.6384462051512152,1.0623703718805222,0.5921850092168757,0.7269197405741041,0.8750585078059888,1.1483514894527458,0.9163645114631108
2005-12-30,0.969515943828641,0.584480551377074,0.8047167502329664,0.5955296731069949,0.8242125464381194,0.506400583603465,0.6679027996583614,0.6663920991139456,1.065112182809212,0.5841862452200335,0.9811403917406338,0.6332710739308404,0.8554923154795268,0.6037806766914943,0.8547151120840538,0.5175043987472462,0.6745246499839919,0.6741835900755178,1.075383954620847,0.6004714345206855,0.7544410250224816,0.8916666029430396,1.1632752364285892,0.921371263068171
2006-01-31,1.002448782650759,0.6593910871873616,0.8544381419376642,0.6362114752671114,0.8705463726676361,0.539503537494981,0.661034762159743,0.7166066370951266,1.1497052192349129,0.5910184553385943,1.014402681912786,0.7098821235612425,0.9066302192252734,0.6446012790209622,0.9019674636092574,0.5508684070374508,0.6676566124853734,0.7244650158433413,1.1600510800046897,0.6078248502338729,0.810858286340352,0.9510377578960841,1.206975243012857,0.9853077105578566
2006-02-28,1.0481344008943507,0.7183475646870923,0.914232429016746,0.6809048170705058,0.9520547792128272,0.559313585746362,0.6815346827462205,0.7349362556603835,1.2365341038164601,0.6381856543829083,1.0603655154516742,0.7706887604462794,0.9678416660661006,0.6892946208243566,0.9838868632925546,0.5708142599588367,0.6882261959466855,0.7427946344085982,1.246879964586237,0.6555433051093636,0.8576037247506154,1.016041143238655,1.2505272446660136,1.0422058518279906
2006-03-31,1.0910696832791738,0.7541829552792448,0.9315591240895571,0.7219904511071183,0.9781093038593063,0.5960888851674304,0.6848124033178941,0.7872362183847614,1.3128368982256708,0.6502303664256859,1.1035788683573766,0.8079873183945213,0.9864082611834747,0.7305895296686549,1.0109763470877147,0.6078600922502493,0.6918819449297914,0.7957943030523217,1.3242123821621599,0.6679091392867532,0.899707153132598,1.0623488323159231,1.2817987561623825,1.0949758171859536
2006-04-28,1.099554510160693,0.7647088877927568,0.9748482957681366,0.7366602623579991,0.984526990537412,0.6140198600430787,0.7091176908950109,0.7900268968716562,1.3169540827796085,0.6673626387466172,1.1123150505193329,0.8191527165515103,1.0307512141922843,0.7453969244003885,1.0181371654262388,0.6261475350080602,0.7161872325069082,0.7985849815392164,1.328390137269229,0.6854308621423876,0.9215992500460025,1.0663544379459018,1.3115174215835717,1.1112328821143307
2006-05-31,0.9944296670571544,0.7064085412269153,0.9002931484113589,0.6666351008919027,0.9364060684403236,0.5561034482653103,0.6479223824649336,0.7441973420828784,1.2466899436776653,0.6282989308506678,1.007313215233295,0.7627395436398455,0.9572493879136923,0.6754998108991352,0.9709692250452449,0.5684846814174527,0.6549919240768309,0.7527554267504386,1.2581259981672859,0.6466265754520656,0.8526424235139343,0.9657424925652035,1.2360498409412244,1.0595808521667216
2006-06-30,0.9620711373500319,0.6486500039338676,0.8823648968000628,0.6629018778869376,0.9250278295783961,0.5252131078263863,0.6449178959042775,0.7230857669719595,1.1974832063659238,0.599200661693707,0.9752766645381773,0.7059037886772744,0.9408143073638904,0.6718979203465624,0.9606437204031087,0.5377923348925984,0.6520565513489244,0.7317068679612106,1.2093738450146905,0.6181993622049938,0.8370789453511126,0.9288286806744764,1.2235372355402432,1.0766074290912468
