date,RSI_14D,PE_RATIO,PX_TO_BOOK_RATIO,BEST_EPS,WACC_COST_EQUITY,MOV_AVG_30D,EBITDA_MARGIN,NET_DEBT_PER_SHARE,NORMALIZED_ACCRUALS_CF_METHOD,VOLATILITY_90D,RSI_14D_no-fees,PE_RATIO_no-fees,PX_TO_BOOK_RATIO_no-fees,BEST_EPS_no-fees,WACC_COST_EQUITY_no-fees,MOV_AVG_30D_no-fees,EBITDA_MARGIN_no-fees,NET_DEBT_PER_SHARE_no-fees,NORMALIZED_ACCRUALS_CF_METHOD_no-fees,VOLATILITY_90D_no-fees,sequential,zscore_simple,zscore_weighted
2003-02-28,0.022249928895388765,-0.028989122721355412,-0.04574364961150452,-0.040324978720433745,-0.05465387275274324,-0.013451671843446741,-0.05120465283070909,-0.04160593434308016,-0.026627845184334045,0.02131224731164539,0.026093950122441777,-0.02508331958845561,-0.04192104287270366,-0.036719012221730365,-0.050821608018052467,-0.009663147945755263,-0.04749403478106859,-0.03789851349872285,-0.02291181614627863,0.025311304332407008,,0.03939708043280396,-0.034316271299524685
2003-03-31,0.051116809087784223,-0.007036888543283416,-0.01566219657674818,-0.012872639708094727,-0.020249220713208654,-0.037656812506985556,-0.018473546323966434,-0.013532081594754032,-0.005821291932120089,0.0027342509168697196,0.05136925690343395,-0.006906732447690585,-0.015574870370120984,-0.01289684090033328,-0.020156922525571032,-0.037159287425837156,-0.018443872413139956,-0.013504053620013643,-0.005788832419399252,0.0040223450901408705,,0.04842880393203422,-0.009779329301414248
2003-04-30,0.07088580993967872,-0.022806759780446093,0.011827142056436812,-0.016249446457228575,0.03454746317047233,-0.006991829098114147,0.027864418568720725,0.009780199349836469,0.06570595539508164,-0.026668616037108166,0.07146872274166532,-0.018999206113558792,0.015947729422090065,-0.012077855328815779,0.03867440498468189,-0.006249705947148743,0.03206898564027176,0.013981986277581696,0.06990675454925546,-0.025502547019613478,,0.021512049489881835,0.00047441122141288206
2003-05-30,0.027570256874254434,-0.013521200239572907,0.040729685628557805,-0.019765944125483194,0.03730283505275227,-0.01796823785173288,0.007889808567223,0.0009506125152833889,0.03691314462145093,-0.014898964583337056,0.028503123651021908,-0.012850607665992865,0.044086455388660295,-0.019338202483555625,0.03773964567956385,-0.017266832554304504,0.007854609906935026,0.0010808271005234224,0.03687464173020565,-0.013786592423095007,0.065094781878726,0.025308841517335687,0.026795829248841496
2003-06-30,0.05281181817917519,-0.016176609475677048,0.007551717608966543,-0.02638396753130695,-0.008434542598504936,-0.00036947063196273583,-0.00594462279638152,-0.023307806596607857,0.01994607247092306,-0.0024957993191340143,0.05357075383681395,-0.014078794291917426,0.011368704668418085,-0.026346054934912183,-0.006387995691821097,0.00040357588268807865,-0.005822948593164984,-0.022949882110014686,0.020485588038491695,-0.0013974151678177033,0.03331240532525834,0.06369393968770758,0.05921573543472504
2003-07-31,-0.09674616483139459,-0.01750933377267308,0.003350724478460111,-0.01037313017117724,-0.0037193019699726347,0.009483862461939274,0.004767697197166167,-0.0008388824029808561,-0.013095246964622796,-0.013799929846960452,-0.09587232962600656,-0.017085909409564497,0.00712920684420594,-0.010336051793238682,-0.0030289849219523914,0.009906006026092942,0.004722234127839092,-0.0008818237519042024,-0.013144977823685483,-0.012283980706875385,0.00416056631946269,-0.02549265010160031,-0.037679656577362296
2003-08-29,0.024891567326257864,-0.023849944400046882,0.007759923447207155,0.016594898174849014,-0.0030188171495793142,-0.022492253561777396,-0.005862741433887722,-0.018223795524541456,0.03345185335535194,0.010821525420976343,0.025380762725611086,-0.0235021131475878,0.010122884073551601,0.017372045688774276,-0.0018041775540338853,-0.022057833602934427,-0.005912819149329271,-0.01827109555693893,0.033536882380658196,0.011815763672379881,-0.006120525100872701,0.008201765152891824,0.006254969424766985
2003-09-30,0.01432504040921468,-0.0015880895064488473,0.021297535561230995,0.014704015483275965,0.04275721867156802,0.023190185363472393,-0.020905668704110095,0.03653083018009222,0.009048847404508864,0.017924450864973452,0.014904485382842524,0.002296723741343784,0.024720913475240823,0.015353754576554999,0.04347474882241051,0.02359239037342659,-0.020638652930192368,0.03705507889833596,0.009696718575636665,0.018717277712286415,0.03655736346425632,0.0006687485333090049,0.003299553663114471
2003-10-31,-0.009006470179641082,-0.02740079060937948,0.005124096344932931,0.022275629463265362,0.01099346359017949,-0.009105294525937647,0.0012431006813892892,-0.0015174373617665438,0.006039368257306152,-0.011498583831892218,-0.008075562909669182,-0.02347186554776645,0.007218459240030194,0.022791920122237172,0.010901219485769456,-0.008672505748511555,0.0011727762046141663,-0.0014359887584881048,0.005962442156738676,-0.01028992426909731,0.023220164481962194,0.02892839874295508,0.02215371768087676
2003-11-28,-0.01749299632521839,-0.025811976214778442,-0.01206558151541407,-0.012132032646632783,0.013575995760582577,0.010379682809412333,0.02099933752061778,-0.008748544329906644,0.005572132546901448,0.015349137584545553,-0.016515097832937725,-0.02582135734470587,-0.011333620636092546,-0.011728225441080103,0.01404731645363944,0.011051846743168905,0.020975624645786776,-0.008770941912101725,0.005546193655100985,0.016867805106974852,-0.007013149836321859,0.0017146352255940599,-0.009568969262486599
2003-12-31,0.006744832270849458,-0.013736064976716771,0.02617303913657256,-0.021855406247990806,0.016428491230397836,0.0025790604324411243,0.005800810118145271,0.0075964524681428084,0.0003506483178434567,0.0335048325109616,0.00729544342155724,-0.009761555294481371,0.03003665705944593,-0.02157389253633353,0.018600734023793305,0.003374933292660573,0.005939087519617333,0.008150434756413928,0.001116604278454946,0.03446305862609448,-0.012422878039884962,0.04326719757500501,-0.013129754197560593
2004-01-30,0.03675657407868409,0.02199539296420891,-0.008897994377015037,0.01639656412219504,0.039753165999046415,-0.0012027477137554407,-0.019927823455300444,-0.009050833106043842,0.0832426824733617,0.04759229424307368,0.03706960758748183,0.025821495236496315,-0.005155298357307707,0.01689899255420562,0.04208110359532635,-0.0005138599400683203,-0.019982657297552466,-0.009102625455038399,0.08318270117158723,0.048262999327412265,0.05309006550690272,0.006845406294039062,0.017692299331883085
2004-02-27,-0.025404802539114438,-0.04150338465603793,0.02751155521503462,0.014646272236766292,-0.015072511580849574,0.008732609507695128,-0.012201397232566993,0.012761116693041096,-0.0034583291201887092,-0.02531532976438914,-0.024751265295172714,-0.037636485765261476,0.02837677750690791,0.014670986061608108,-0.015166764839945602,0.009145554829445575,-0.012231699699788792,0.01273249502632414,-0.003491476194263654,-0.024911573145326875,-0.006922033721116681,0.004916109946642464,-0.00453083590343472
2004-03-31,-0.01261937112349874,0.01083553216094688,-0.008833208248951802,-0.014040400970909129,-0.01125507687437291,-0.0035766069377715214,-0.0005389761863712709,0.006163918400700589,-0.021313416779024624,0.019543196490758065,-0.011504089953412122,0.012674066575382146,-0.0056562339122721746,-0.014051945546016067,-0.008618244332817403,-0.003195486745531063,0.0007036716881589512,0.00709783483368231,-0.019880274194236967,0.02006461250498354,-0.0226758100376298,0.008376488047920612,-0.016436002930669866
2004-04-30,-0.01898053075699771,-0.0393126329120171,-0.008247115995821999,-0.0023574919881433655,-0.02294201180409461,-0.017574294459606992,0.016222037547591064,0.001225220447743685,-0.05209569390328129,-0.007280834100748315,-0.01844003502893519,-0.03543815033961026,-0.005344514982584309,-0.0023419735631311743,-0.022204121026382674,-0.016787861249580687,0.01620300987509294,0.0012072481916678215,-0.05211650777514039,-0.007013886886294324,0.02023271100522204,0.02058259301915423,0.0025425023754137785
2004-05-31,-0.04851705003367882,0.00727089071255373,-0.01179931389494085,0.006061934226531951,0.006460280155190725,0.014978809201524022,0.010529502227819497,-0.010853645083516161,-0.018698101194750606,-0.011228292962974683,-0.04811189175938403,0.009301112235826369,-0.008837143016174349,0.006039757140328818,0.007479004537508362,0.015524479287566902,0.01055669431289928,-0.010827961273983555,-0.018557558698264073,-0.010842536272792962,-0.0028432794951186585,-0.010093622419103863,0.011008504798890848
