date,benchmark,RSI_14D,PE_RATIO,PX_TO_BOOK_RATIO,BEST_EPS,WACC_COST_EQUITY,MOV_AVG_30D,EBITDA_MARGIN,NET_DEBT_PER_SHARE,NORMALIZED_ACCRUALS_CF_METHOD,VOLATILITY_90D,RSI_14D_no-fees,PE_RATIO_no-fees,PX_TO_BOOK_RATIO_no-fees,BEST_EPS_no-fees,WACC_COST_EQUITY_no-fees,MOV_AVG_30D_no-fees,EBITDA_MARGIN_no-fees,NET_DEBT_PER_SHARE_no-fees,NORMALIZED_ACCRUALS_CF_METHOD_no-fees,VOLATILITY_90D_no-fees,sequential,zscore_simple,zscore_weighted
2003-02-28,-0.053198053925489694,-0.04182644046407617,-0.09040874225287916,-0.09040874225287916,-0.09040874225287916,-0.09040874225287916,-0.05229170375178354,-0.09040874225287916,-0.09040874225287916,-0.09040874225287916,-0.0034744201972323405,-0.03797835387959456,-0.0867557653141357,-0.0867557653141357,-0.0867557653141357,-0.0867557653141357,-0.04848564633713206,-0.0867557653141357,-0.0867557653141357,-0.0867557653141357,0.0005276905650277691,,-0.011142556567159729,-0.09040874225287916
2003-03-31,-0.07891921118907956,-0.022030995802902183,-0.1273992881079082,-0.1273992881079082,-0.1273992881079082,-0.1273992881079082,-0.1082780972957556,-0.1273992881079082,-0.1273992881079082,-0.1273992881079082,-0.011835013243207666,-0.017928368537939887,-0.12374631116916476,-0.12374631116916476,-0.12374631116916476,-0.12374631116916476,-0.10396548846422679,-0.12374631116916476,-0.12374631116916476,-0.12374631116916476,-0.006543236227411069,,0.01293365544570624,-0.1273992881079082
2003-04-30,0.030126557276969446,0.17822274067367502,-0.025801287779733686,-0.02246709828622455,-0.04042087991397024,-0.01639227382300866,-0.03304687646253153,-0.01663171114915414,-0.016784231699516025,0.06712261179725232,0.01746584357041263,0.18290068610551888,-0.01786844379862851,-0.014376642673498377,-0.03268413367908879,-0.008277421324888082,-0.02802489945072756,-0.008666485781930952,-0.008827759286093376,0.07509417770208426,0.023917984803377382,,0.13852519261058457,-0.012471947659183899
2003-05-30,0.06784936964070623,0.2501586751081725,0.0034208399156686956,0.050774729737781604,-0.024365759367197933,0.0479816579451615,-0.02206005696988745,0.020435467215403062,0.019205227360998264,0.14822100323028894,0.022940221099016705,0.2557670047980945,0.01217866529425958,0.06232553988914798,-0.01622997851013936,0.056642803523244176,-0.016347381538047368,0.02840069258262625,0.027325160640113026,0.1561925691351209,0.030502869718836253,0.11013948332173303,0.19993347884989648,0.053814175532254246
2003-06-30,0.11648271660970962,0.36037689539371315,0.042508038606314684,0.10007820127086581,-0.004627967454037013,0.07411302515927275,0.014624478835573301,0.0518384529919425,0.04098612556228197,0.22533518772346145,0.046164785477288535,0.3667408821449608,0.053567576376368456,0.11558280013979666,0.003507813403021559,0.08496530820393325,0.021096060494261774,0.059971838495535,0.049507890805093546,0.23389711893883441,0.05482335549187867,0.2017550595100383,0.3101168270992971,0.16399752378165489
2003-07-31,0.16438610550511829,0.3201141346767259,0.07938666006212916,0.14460214230093818,0.030445968034222858,0.10453921098819263,0.060687178320014905,0.09347212900559912,0.0845839852255427,0.26849029805930946,0.05785943230412764,0.3273487501783898,0.09106903290431065,0.16401901504726218,0.03858174889128143,0.11622322010942612,0.06756707439410028,0.10160551450919161,0.09310575046835427,0.2770522292746824,0.0680315428920821,0.2632760664448511,0.33043080212320974,0.17650415939478742
2003-08-29,0.21692853957447183,0.40699905012149695,0.11522192016898702,0.19749119357808712,0.09687765242261312,0.13890845609845076,0.0782633289262108,0.12799407933890644,0.11508410126369271,0.3636787977265079,0.0965400138697618,0.4147193291021658,0.1274717757937611,0.21941839872630747,0.10574973884238414,0.15196286730987743,0.08556241210780528,0.13612746484249894,0.12360586650650429,0.37238053666659454,0.10770370966521739,0.32011494795735673,0.38886540938496567,0.2378161881283397
2003-09-30,0.21763416866423876,0.42149960114143353,0.11393880912943133,0.2199101836834157,0.11243906156770629,0.18322133936881224,0.10285883377177463,0.10847598898622379,0.15253474821242624,0.37291755459994547,0.11655462813463024,0.42979952320738735,0.13006115735931006,0.24525250040218924,0.12196317797801196,0.19698454373735513,0.1105609764008876,0.11687358131613321,0.16157810903103387,0.3822640920770567,0.1285112995913221,0.35679363410328363,0.3903693361046624,0.24168032110546803
2003-10-31,0.2901127351600746,0.49824368040839956,0.16904722617666318,0.2871022900947703,0.2033936978200588,0.24541198193618524,0.14871474061514822,0.16512445586612248,0.21813350018996408,0.46434698420886694,0.14287157510911738,0.5074695498445312,0.1894069576075348,0.3147459248965071,0.21337675025915415,0.25930168053214314,0.15682828042483826,0.1735220481960319,0.22732473336941317,0.47369352168597817,0.15603318044098735,0.46712099055411116,0.48853292562726214,0.33984391062806774
2003-11-28,0.31698968113747955,0.5121028410383692,0.1734944512965645,0.2984032946813337,0.21685742872515615,0.2786890028340733,0.1800646480772894,0.20724378701724325,0.2344537493400597,0.501149719886931,0.17340954858110355,0.5223049365265675,0.1939488113190898,0.32684867406631046,0.2272249488278857,0.29312377901288184,0.188843138738154,0.21564137934715266,0.24364498251950878,0.5104962573640422,0.18808856516207995,0.4919174471385966,0.5160308653854211,0.3583426164532055
